comment_text,Matches_isin_str
@USER unter anderem die Wahl in Thüringen die per Beschluss der Diktatorin zurückgenommen wurde trotz angeblich demokratisch Wahl…,"diktator, diktatorin, rotz"
"deshalb braucht das land ein mehrparteiensystem, der die gesellschaft differenzierter widerspiegelt...so wie in deutschland, z.b.",esel
"@USER Die Grippe hat nix mit dem Coranavirus zu tun. Das ist kein Vergleich. Folgeschäden wie bei dem Masernvirus sind noch nicht erforscht. Man kann sicher Maßnahmen diskutieren, aber dieser Virus wird uns erst später aufzeigen, was er auch nachträglich auslösen kann. Noch geht es uns gut. Aber ich will Dir auch keine Meinung aufzwängen. Da ich mich nicht mit Virologie auskenne, kann ich nur versuchen mir über verschiedene Virologen eine Meinung zu bilden. Aber als harmlos abtun kann ich die Covid-19-Krankheit nicht. Bin kein Experte.🤷‍♀️",krank
"@USER Ich glaube Sie haben meinen Kommentar nicht verstanden. Egal was wir tun, Russland wird das nichtmal ansatzweise jucken. Sanktionen bringen überhaupt nichts, was sollen wir denn ihrer Meinung nach unternehmen?","olle, ollen"
"@USER Genau so! Aber seine Anhänger finden das auch noch geil, da können sie endlich ihre ach so tolle Waffen ""richtig"" einsetzen 😡","affe, affen, geil, olle, 😡"
"Wenn man die „richtigen“ Hobbies hat, ist man kaum eingeschränkt. Spieleabend geht auch online, Gassi gehen, Wandern und Trainieren mit den Hunden geht auch. Mein Fitnessbike steht im Arbeitszimmer. Sich zum Abendessen treffen geht zumindest zu zweit. Klar, nicht im Restaurant, aber die meisten Restaurants bieten ja Essen zum Abholen an. Ich glaube, es ist eine Frage des Blickwinkels... Bei manchen Leuten ist das Glas eben halb leer, bei anderen halb voll.","assi, hund, hunde"
"@USER Es bestehen bereits Sanktionen! Und nein, es hat überhaupt nichts mit der Wahl in den USA zu tun, Trump hat die letzten Sanktionen gegen Russland sogar noch verschärft, was hat es gebracht? Und als ob der komplette Westen an einem astrang ziehen würde, das ist utopisch und falls doch würde das einen neuen kalten Krieg auslösen und wir können jns auf eine um vielfaches verstärkte Hybridekriegsführung gefasst machen. Russland wird niemals einlenken, das können wir vergessen.",alte
Mit Herrn Weinberg geben Sie ihm die Möglichkeit den Mist von tramp in Deutschland poblick zu machen versuchen Sie mal genauso in USA zu sagen was Sie von dem Rassisten tramp denken. Soviel ich weiß ist bei uns Rassismus ein strafbestand also diesen Herrn verhaften und abschieben,"abschieben, assi, mist, rassismus, rassist, rassisten"
"Lass doch einfach die Amerikaner entscheiden, wie sie ihr eigenes Land regiert haben wollen. Was müssen wir uns da eigentlich einmischen?","olle, ollen"
@USER Ja. Sollte man trotzdem so nicht stehen lassen.,rotz
"@USER Ach und das alles gibt es nur in Russland? Wie war das mit der Wahlbeeinflussung in Thüringen? In den USA musste ein Präsident vor vielen Jahren durch ein Gericht bestätigt werden. Bereicherung und Korruption? Gibts ja wohl überall auf der Welt. Hat uns Russland schon mal angegriffen oder das Gas abgestellt? Putin ist ein Freund der Deutschen. Und wenn sie sich in der Geschichte auskennen würden, dann wüssten sie, dass die Krim im 18. und 19. Jahrhundert zum Russischen Kaiserreich gehörte. Von wegen Annexion. Zu viel @MEDIUM und @MEDIUM konsumiert?","hund, hunde, wahlbeeinflussung"
Nach 30 Jahren Wiedervereinigung komme ich mir mit unseren Ossi Wessi Geschichten richtig popelig vor gegen das was diese US Republikaner für einen Müll zusammen reden. Die Leben nicht mal im Kalten Krieg. Die leben irgendwo in den 1950. Dazu gibt es hier auch gewisse Parallelen. Und das ist einer der Raus in die Welt kommt und sich an diesen Schwätzer verkauft hat. Alles für dieses wütende Weiße Mann Ding. Mit dem nötigen Kleingeld. Die wissen nicht was Trump geleistet hat oder nicht. Das weiß Trump doch nicht mal selber. Das ist ihm aber egal und seinen Wählern auch. Der Mann verkauft ein Gefühl und kein Programm. So wie er es immer gemacht mit seinen pleite gegangenen Spielcasinos und seiner bescheuerten Fernsehshow die einem an unsere Privatfernsehencastingshows erinnert. Und wehe du vergleichst ihn mit Dieter Bohlen 🤢,"alte, asi, bescheuert, bescheuerten, müll, schwätzer, 🤢"
"Jedenfalls gestandene amerikanische Senatoren sind sich nicht zu schade, seine Eskapaden öffentlich und feierlich für völlig normal zu erklären. Donald Trump ist mithin alles andere als krank. Vielmehr ist Donald Trump ein zutiefst unmoralischer Mensch und das ist viel schlimmer. Denn so etwas kann man nicht therapieren. Wie kann man nur so werden? Es ist nämlich nicht ganz einfach, einem Menschen die Moral gründlich auszutreiben. Doch leider ist das immer wieder gelungen – mit zum Teil fürchterlichen Folgen. Ein Auszug aus dem Buch *Neue Irre* von Prof. Manfred Lütz.....🥴","irre, krank, schlimm"
Theo Sommer erinnerte mich sehr an Helmut Schmidt. Wirklich tolle Argumente und Statements. Ein Urgestein der Politik! Hat mich sehr gefreut das es noch solche sachliche und vernünftige Menschen gibt die wissen wie alles wirklich zusammenhängt!,olle
"Trump soll die Wahl gewinnen weil er hält was er verspricht und er hat bei Corona auch nicht versagt, denn immerhin die Grenzen geschlossen um den Virus einzudämmen im Gegensatz zu Deutschland. Demokratisch wäre es schon noch einen guten Fetzen an ihm zu lassen denn immerhin ist er der Präsident der USA. Man sollte ihn nicht lächerlich machen denn bei uns gibt es viele Politiker mit denen man es gleichtun könnte.",lächerlich
"Sie sind nicht gut und nicht sicher, nur schnell, zu schnell und unausgegoren. Impfstoffe gegen SARS-CoV-2, die jetzt schon in der Zulassung sind, wurden in drastisch verkürzten Verfahren entwickelt, was die Zusammenschiebung, sprich Teleskopierung der ersten und zweiten Phase betrifft und die dritte klinische Phase, die überhaupt nicht langzeiterprobt ist, die Nebenwirkungen, die auftreten, ob Immunität gegeben ist oder trotzdem Weitergabe des Virus an andere Menschen möglich ist. Es besteht keine bzw. ungenügend Sicherheit. Zumal es diese Art von Impfstoffen noch nie über die präklinische Phase geschafft haben. Menschen die gesund sind, wurden getestet mit signifikanten Nebenwirkungen, überschießenden Immunreaktionen, keine Langzeitfolgen wie zeitverzögerte Autoimmunreaktionen sind erforscht, Menschen die älter, vorerkrankt bzw. Risikogruppen sind, wie ist das bei denen erst? Es ist ein Faktum, dass dies nicht in dieser kurzen Zeit möglich ist, auch wenn uns das Medien, Politiker und Lobbyisten erzählen. https://www.researchgate.net/publication/345950519_Zur_Entwicklung_genetischer_Impfstoffe_gegen_SARS-CoV-2_-_technologische_Ansatze_sowie_klinische_Risiken_als_Folge_verkurzter_Prufphasen_in_DER_ARZNEIMITTELBRIEF_Nov_2020","erschießen, krank, rotz, schießen"
"George lebt in einer anderen Welt. Viele Republicans abroad sind nicht für diese Richtung, Trump Gang. Es wird enger werden als gedacht, Riots in den Strassen..eine starke FBI, US National Guard wird nötig sein, dirigiert von den Gouvenors.",rasse
Mit dem Deutschen Now How und den und den Russischen Rohstoffen waren Beide Partner schon langst auf dem Mars gelandet und das wissen auch die Amerikaner und deshalb versuchen Sie immer wieder gute Nachbarschaften beider Lander zu Torpedieren .,arsch
Das ist völlig unnötig und unverantwortlich 🙄👎,"👎, 🙄"
"lebe und genieße jeden tag so, daß die klimakirche sich über dich ärgern würde! 👊",👊
"@USER Blödsinn, was du schreibst! Du solltest dich besser informieren. Ansonsten beweise, dass Spätfolgen nicht auftreten können!","blöd, blödsinn"
"@USER hahaha, den merk ich mir. Top! 😂","haha, hahaha, 😂"
"Trump lobt die Kriminellen, die versucht haben, einen Biden-LKW in Texas von der Straße zu drängen und ihn rammten. Die republikanische Partei trägt das konsequenter Weise wie üblich dann ja wohl auch mit, oder? Jedenfalls ermittelt das FBI.","kriminelle, kriminellen"
"Amerika,Deutschland soll das dreckige und Umweltschadigende US-Fracking Gas Kaufen.....","dreck, dreckig, dreckige"
Leider ist Herr Brinkhaus auch ein typischer Vertreter des Gestern. Warum schaffen es so viele Politiker*innen alles zu Verdrängen und Schönzureden - was passiert da in Köpfen?,"affe, affen, assi"
"Unablässig wird beklagt, dass Menschen über Fake-News manipuliert werden, dabei ist der Kern des Problems vielleicht ein ganz anderer: mangelndes Interesse an echten Fakten. Der Mensch muss erst vor dem Abgrund stehn, damit er handelt. Dabei steht er schon mit beiden Beinen drüber! Wohl gemerkt, in 20 Jahren wird der Sommer 2018 nur ein Durchschnittssommer sein. Ab 37 Grad Celsius wird es für den Menschen gefährlich (insbesondere für Kinder, ältere und kranke Menschen etc.). Hatten wir 2018 schon des öfteren erreicht. Bei fünf Grad - weltweiter durchschnittlicher Mittelwert - droht das Ende der Menschheit. 3-4 Grad sind bereits erreicht, auch wenn immer von 2 Grad Beschränkung gesprochen wird. (5 Grad haben wir am Nordpol und 2 Grad im Nahen Osten bereits erreicht). Es ist in Teilen auf der Welt mit 50 Grad und 90 % Luftfeuchtigkeit zu rechnen. Ganze Landstriche werden unbewohnbar. Schmilzt der Permafrost, schreitet die Erwärmung noch schneller voran! Eine gigantische Zeitbombe mit unvorhersehbaren Folgen! Die Kettenreaktion ist in vollen Gange. Wie ein Atomkraftwerk außer Kontrolle. Tschernobyl ist nichts dagegen. 350 Mio. Klimaflüchtlinge bis 2050 und Mio. Hitzetote in den nächsten Jahren! Es steht zu befürchten, dass die Erde im Jahr 2100 nur noch bewohnbare Zonen für eine Milliarde Menschen haben könnte (aktuell ca. 7,5 Milliarden), wenn wir so weiter machen wie im Moment!","fake, fake-news, krank, kranke, olle, ollen, tot, troll, trolle"
@USER geh du doch! 🤦🏻‍♂️,🤦🏻
"pandemie? 🤣 97% der deutschen sind weder infiziert, noch krank!","krank, 🤣"
"@USER in Amerika ist es nicht anders wie bei uns in Deutschland, unsere Politiker haben die Gesellschaft auch gespalten und seit 2015 extrem.","alte, esel"
"Ja und? Wir haben auch keine Dinosaurier gesehen, dafür halt dann was anderes",sau
"An die Impfskeptiker: Was wäre die Alternative? Abwarten bis eine Herdenimmunität erreicht ist? Nur mal so am Rande: Dieses Virus hat auch ""Nebenwirkungen"". Es kann Organe irreversibel schädigen und tötet.","alte, alter, irre"
"@MEDIUM Habe ich hier bereits mehrfach. Aber - was soll's ... Die politische Entwicklung in den USA ist ein Indikator für die gesellschaftliche Atmosphäre in Europa. Deutschland siecht unter einer gesinnungsschweren bleiernen Glocke dahin. #Trump widersetzt sich der linken Meinungshegemonie. Und so wie sein Standhalten, seine souveräne #Haltung gegen diese Gesinnungsdiktatur bereits eine Erquickung für freiheitsliebende Konservative in Deutschland und Europa ist, wird seine Wiederwahl der manifestierte und fulminante Widerspruch gegen die weitere Verödung und Verengung des Meinungskorridors hierzulande werden. #Deutungshoheiten stürzen, Gesinnungsgleichschalter brennen durch. #Meinungsfreiheit wird befördert und Kryptokommunisten bekommen ihren Nackenschlag.","alte, alter, esel, gesinnungsdiktatur, linke"
"Nachdem ich mir nahestehende Menschen qualvoll sterben gesehen habe, habe ich kürzlich einen ersten Menschen gesehen, der friedlich in seinem Bett eingeschlafen ist. Was für ein Unterschied. Dieser Mensch hatte eine Erkrankung, die ihm mit sehr sehr hoher Wahrscheinlichkeit einen qualvollen Tod beschert hätte. Was für ein Glück, auch für alle, die ihm nahe waren, dass er dem entschlafen konnte. Er war im übrigen ein aktiver Verfechter des selbstbestimmten Sterbens. Die Natur hat es gut mit ihm gemeint. Ja. Ich bin dafür, dass jeder Mensch ein unbedingtes Recht hat zu gehen. Mein Körper - mein Leben - mein Sterben.","krank, olle, ollen"
"Trump verlangt sofortiges Abbrechen von NorthStream.Sorry wer glaubt da steckt Russland dahinter, der träumt.Und es git noch gar keine Ermittlungen, Beweise usw.Lächerlich sowas und peinlich","brechen, lächerlich, peinlich"
"Glauben ist in der Kirche ⛪️ besser aufgehoben! Aber,Chapeau für soviel Mut 👍",chapeau
"Unfassbar wie armselig hier einige schreiben. Wo irrt sich Carla Reemtsma denn bitte? Haben wir etwa nicht zu viele Autos auf den Straßen? Setzt die Politik nicht die falschen Anreize? Hat der Verbrenner etwa doch eine Zukunft? Ist E-Mobilität nicht auf dem Vormarsch? Hier kann niemand sachliche Kritik vorbringen und es versucht auch keiner, ist ja schließlich aussichtlos. Stattdessen beschränken sich die „Kritiker“ auf genau diese Merkmale: Sie ist weiblich, sie ist jung und sie lebt in einer Stadt. Und diese Attribute disqualifizieren sie jetzt? Wenn euch nichts Besseres einfällt, bleibt wohl nur zu sagen: Sie hat recht mit allem.","armselig, arsch, mob, weib"
Michael Preetz ernsthaft 😂😂Das wird ein lustige Runde wenigstens was zu lachen in diesen Zeiten.,😂
"Eines muss man Trump lassen er lässt die Menschen Wählen trotz Corona - Unsere Parteien verschieben die Wahl für den Parteivorsitz gleich auf das kommende Jahr da kann man sich hinter Corona verstecken. Er bekommt in so einem großen Land seine Wahlen hin - da wird es wohl bei uns mit der Wahl eines Parteivorsitzenden auch funktionieren?Wo ein Wille ist, ist auch ein Weg? Aber hier fehlt anscheinend der Wille. So schlecht ist Trump nicht wie er dargestellt wird, denn hier wird auch nicht alles richtig gemacht. Aber wenn man über Trump berichtet haben die anderen derweil ihre Ruhe.",rotz
"Meine Mutter ist vor Jahren an einem Krankenhauskeim gestorben wie jedes Jahr auch Tausende daran Sterben ,was niemanden interessiert und bis jetzt hat sich die Situation in den Krankenhäusern ,was diese Infektion anbetrifft nichts geendert und wen interessieren diese Toten niemanden!Wo bleibt eure Solidarität bei der Organspende da sterben auch viele junge Leute und Kinder interessiert wenige!Wen ein Krebskranker nach Hause kommt und chemo hatte ,kann er auch an jedem Schnupfen Sterben und trotzdem muss er selber auf seine Sicherheit achten oder hast du schon mal erlebt das da die Nachbarn in Arrest kommen um ihn nicht zu gefährden ?Ich habe das Gefühl das ein Corona Toter ein Toter 1klasse ist und der Rest eben der Rest und davon gibt es viele ,die als kollateral schaden Sterben weil viele OP‘s verschoben werden selbst chemos werden verschoben und wer denkt an diese Fälle,die haben auch Kinder ,Mütter und Väter die trauern?","krank, kranke, mutter, rotz, schaden, tot"
"Jetzt mal im ernst, es gibt z.Z. im Kabinett Merkel keinen Politiker, den ich unsympathischer und unauthentischer finde, als den Altmaier..","unsympath, unsympathisch"
"@USER nun ja, die Nazis hatten sie nicht eingeladen und sie haben mit anderen unsere Großeltern und Eltern von den Nazis befreit.","nazi, nazis"
"@USER ""verdammt noch mal auch dran hält,"" Das ist für dich keine Spaltung? Für mich aber schon.",verdammt
😂,😂
