comment_text,matches_string
"Wäre es nicht sinnvoll als Indikator bzw. als Trigger die Belegzahlen in den Krankenhäuser heranzuziehen, anstatt 50/100000? Würde doch den aktuellen Zahlen und den Auswirkungen eher gerecht werden!?","kranke, krank, doch, kranken"
"Mich hat gefreut, dass die Teilnehmer dieser Runde zumindest ehrlich waren, was die Risiken der Impfung angeht! Ich werde sicher nicht in der ersten Reihe stehen, wenn diese Aktion losgeht! Erst einmal beobachten, was passiert!",assi
"Unter dem Deckmantel von Corona,Nawalny,Regime Change.Findet der Aufmarsch von US-Militär in Georgien und Natomanöver an der polnisch-russischen Grenze statt.","regime, arsch"
"...liebe Carla Reemtsma...haben Sie Ideen, wie unsere Wirtschaft überhaupt noch funktionieren kann...wie sollen wir noch unsere Energie bezahlen, während diese von uns ins Ausland verschleudert wird...","olle, ollen"
"Ich erlebe Kinder, die den Erwachsenen vormachen, wie es geht- und immer wieder neue kreative Lösungen finden für den Umgang mit der Situation. Starke Eltern, fördern ihre Kinder und klären sie über die wichtigen Maßnahmen auf, ohne ihre eigene Angst auf sie zu übertragen. Das gibt starke, reselienzfähige Kinder. Traut den Kindern und Jugendlichen zu, diese Krise zu meistern und sie werden euch überraschen.","fähig, angst, esel, nahm"
"@USER Klasse - Sie sprechen mir aus der Seele - immer nur über andere meckern und selbst alles aussitzen und sich es im Amt bequem machen - die bekommen nicht mal einen Parteitag hin - angeblich wegen Corona aber in die Kirche dürfen die Menschen beten gehen. Hier schadet man der Wirtschaft - den Kindern, den Künstlern und den Alten mit diesen überzogenen Maßnahmen - vorige Woche beschlossen und heute erst umgesetzt - da kann es doch schlimm nicht sen. Den Zahlen traue ich nicht weil viele Experten sagen, dass diese Tests falsch Positive anzeigen. Hier wird nur Angst geschürt und das ist für keinen gut. Trump ist richtig, er verschafft Zuversicht und Hoffnung - bei uns wird man dumm geredet mit Corona - das Virus wird es immer geben und jeder kann sich selbst schützen da braucht man keine Gebrauchsanleitung und Vorschriften von der Regierung.","gerede, doch, angst, schadet, alten, alte, dumm, sag, nahm, schlimm"
Nur weil man einen Transportweg hat muss man noch Abhängigkeit schaffen. Jedoch löst man sich ein wenig von der amerikanischen Abhängigkeit. Angebot und Nachfrage. Wir kaufen billiger egal von wo es kommt.,"affe, doch, affen, egal"
"Alle die hier den Lachsmiley drücken sind sicherlich damit einverstanden ihren Beatmungsplatz freiwillig zu räumen. Für den Fall, dass Triage greift und ein alter Mensch ansonsten keine Chance auf den Platz hätte, obwohl er noch an seinem Leben hängt.","alte, alter"
"wie hatten auch sehr viele Sorgen ,aber waren positive, das alles gut wird, hier hat man ,das Gefühl, von den jungen Leuten, das die Welt untergeht. Mehr Familie ist nicht schlecht,mehr Liebe und Verständnis .Egoisten sind hier fehl am Platz. Die Natur wird es richten hoffe ich.","egoisten, egoist, leute"
"Wir sollten den Klimawandel nicht nur über den Zeitraum der letzten 200 Jahre betrachten, sondern viel länger zurück gehen. Dann würden wir feststellen, dass sich das Klima in den letzten Jahrmillionen immer wieder zum Teil drastisch geändert, obwohl es nur wenige Humanoiden gab und die Industrialisierung noch mehrer Millionen Jahre in der Zukunft lag. Der Aktionsmus, der seit Fukushima stattfindet ist geradezu absurd. Klimaschutz beginnt bei jedem persönlich zuhause und im Alltagsverhalten. Zudem müsste es für gewerbliche Energieverschwender endlich mal Konsequenzen geben. Ein Energieaudit ohne Folgen ist politischer Schwachsinn, wie sovieles was im Zusammenhang mit Klimaschutzmaßnahmen im blinden Aktionsmus endet. Ich habe vor über 20 Jahren für die Firma ista-Energie-Controlling gearbeitet. Leider wurde unsere Arbeit belächelt und aufgrund nicht vorhandener Notwendigkeit und staatlicher Unterstützung eingestellt.","troll, alten, alte, nahm, letzte, trolling, schwachsinn, halt, absurd"
@USER dass es im Vergleich zum letzten November (ohne corona) keine übersterblichkeit gibt wissen Sie doch hoffentlich,"doch, letzte"
"@USER , es kommt sicher auch auf die Wahl in den USA an. Mit Trump als Präsident kann sich Putin mehr erlauben. Dann juckt es ihn natürlich nicht,was Europa sagt. Wenn der komplette Westen Sanktionen verhängt, sieht es wohl anders aus.",sag
"Da hat er nicht unrecht. Das Ding dabei ist, dass diese Form von Sozialismus offensichtlich nicht verkehrt ist (Beispiel Deutschland und Skandinavien)","deutschland, sozia, sozi"
"@USER dann lesen Sie einfach noch einmal, was Sie geschrieben haben. „Wenn sich Kinder reicher Eltern...“. Und Sie schreiben, ihre Cousine sei Luisa Neubauer. Aber die Frage nach Ihren Eltern können Sie nicht beantworten. Und ich habe Ihnen nicht unterstellt, Sie hätten etwas über ihre Leistungen oder die der Eltern geschrieben. Also nochmal, wer sind ihre reichen Eltern?",cousine
"Die Diskussion ist gut und wichtig, aber wir sollten bei allem Fanatismus und aller Euphorie für die Sache nicht vergessen, dass wir auch ein funktionierendes Leben aufrecht erhalten müssen. Menschen mit viel Geld oder junge Menschen mit noch niedrigem Lebensstatus haben es einfacher, neuen Idealen zu folgen und sich einzulassen. Aber eine Familie mit 2 Kindern, die auf dem Land wohnt; die Schule, der Arbeitsplatz, soziale und medizinische Einrichtungen nur mit Auto, Bus oder Bahn erreicht werden kann; denen sagen sie einmal, dass das Auto jetzt das Doppelte oder Dreifache, der Sprit jetzt 10 € pro Liter, der Strom 5€ pro Kilowattstunde und die Monatskarte 500 € kostet, weil alles schnell umgestellt werden muss. Damit zerstören sie komplett das soziale Gefüge. Eine systematische und langsame aber keine sprunghafte Anpassung kann nur der richtige Weg sein. Also alle Jaenickes, Reemtsmas und wie sie noch heißen; Eure Gesinnung und Euer Einsatz für die Sache ehrt Euch, aber vergesst nicht die Menschen, die Euch folgen müssen aber nicht können. Mit großem Respekt @USER","fanatismus, frech, gesinnung, alten, alte, sag, sozia, sozi, bah, halt"
"@USER so,was geht denn ""den Bach runter""? Schon mal einen Blick auf unsere Nachbarländer geworfen?Sogar weltweit schaut die Welt fast neidisch auf Deutschland! Das man über die eine oder andere Maßnahme geteilter Meinung sein kann ist klar,aber insgesamt macht unsere Regierung einen guten Job!","deutschland, nahm"
"@USER Wenn man in ein Stadion, welches beispielsweise 60000 Leute passt, 10000 reinlässt und somit nur jeder 6. Platz belegt ist, ist das doch völlig okay! Wenn Sie möchten, verkriechen Sie sich doch.","doch, leute"
"Einerseits werden die Virologen nicht müde zu behaupten das draußen deutlich weniger Ansteckungsgefahr besteht(keine Aerosolwolken) andererseits wird heute bei @MEDIUM"" bestimmt wieder der Fußball gegen Schulen und Kindergärten ausgespielt. Ich war am Samstag bei einem 2.Ligaspiel im Stadion. Die ganze Zeit mit Maske und es wurden was viele Fans bedauern nur Sitzplätze mit ausreichendem Abstand zu den neben mir positionierten Zuschauern verkauft. Da nur 1700 Zuschauer im 17.000er Stadion zugelassen waren kam es beim Eingang und am Ausgang zu keinen ""Staus"". Ich gehöre vom Alter bereits zur Risikogruppe und ich habe bei einem guten Hygienekonzept keine Bedenken ins Stadion zu gehen.","alte, auft, alter"
"Warum interessiert uns, das in Russland ein Sack Reis umgekippt ist!?🤔",sack
Die grünen wollen immer mit dem Fahrrad kommen .,"olle, ollen"
"@USER ok. Das war mir tatsächlich nicht bewusst und ich habe es immer so verstanden, dass man damit die Frau sichtbar machen möchte, weil es sonst immer z. B. Kollegen heißt und das männlich ist und Frauen dabei nicht berücksichtigt werden. Dann steht die eigenartig anmutende Pause beim Sprechen also für Diverse?",olle
"Na ja, Herr Weinbergs Beitrag war wie immer unnötig ! Klar gibt es in den USA exzellente Ärzte, nur die wenigsten Amerikaner können sie sich leisten. Herr Röttgen reagiert auch als Christ nicht aus ""christlicher Vorsehung"" wie angeblich Trump....Weinbergs Vergleiche sind manchmal schon sehr, na ja, sagen wir es vorsichtig...naiv...","naiv., sag, naiv"
"Haben die Amerikaner keine jüngeren Präsidentenkandidaten, beide Kandidaten werden nach meiner Prognose Ihre Amtszeit nicht überleben, beide sehen sehr zerbrechlich aus, nichts gegen Ältere Menschen, dennoch die Präsidenten müssen viel Reisen haben viel Streß, das halten die doch nicht aus, auch Frau Merkel hat vor paar Monaten wie verrückt gezittert, danach nicht mehr, sie sieht auch nicht mehr gesund aus.","doch, alten, alte, halt"
Wieviel Jahre unterhält Wladimir Kaminer schon die Leute?,leute
@USER Ändert das etwas am Inhalt meines Kommentars?,halt
Mein Gefühl sagt mir dass sich die Bürger der USA entweder für Flöhe oder Läuse entscheiden müssen..beide Kandidaten sind im fortgeschrittenen Alter und mit zweifelhaften Vergangenheit behaftet.,"alte, sag, alter"
"Frau ""Blaerbock"" in ihrem Element. Fehlt nur noch eine Horde ""Kobolde""!","horde, bla"
"Vertreter des ""Gestern"" sind die grünen Pharisäer, die andere zum Verzicht auffordern und selbst nicht verzichten, da sie wichtig sind oder keine Lust haben. Ein besonders schlimmes Beispiel ist der Herr Jaenicke, der heute Gast ist. Warum argumentiert keiner mehr gegen grünen Schwachsinn und grünes Pharisäertum? Auch die Zigaretten-Aktivistin glaubt, sie habe kein Einfluss. Und müsse daher selbst nichts tun. Es sind immer die anderen.","pharisäer, schlimm, schwachsinn"
"und ich ergänze - ja, auch ich will verreisen, auch ich bin kreuzunglücklich, dass ich nicht feiern kann, ja auch ich will meine sozialen Beziehungen vis à vis pflegen können usw. Nur weil man nicht mehr zur Jugend gehört, heißt es nicht, dass einem die Einschränkungen nichts ausmachen! also ehrlich @MEDIUM, ich hätte Euch für klüger gehalten, als dass ihr hier wieder Lager spaltet!","klüger, lüge, alten, alte, sozia, sozi, halt"
"Tja, mit Ideologie wird es kalt und dunkel hier! 🤦‍♀️",🤦‍
"Meine letzte Grippe vor einigen Jahren, hab ich auch als sehr lebensbedrohlich wahrgenommen. 40 Fieber über 15 Tage war nicht zum lachen. Da sprach niemand drüber",letzte
"Ich fühle mich durch den Klimawandel nicht bedroht und ich kenne auch keinen der sich bedroht fühlt. Angstmache, Panik schüren, damit die Einschaltquoten nicht zu gering sind","angst, panik, halt"
"Liebes Team von „@MEDIUM“, jung bin ich nicht mehr, mein Abitur liegt 20 Jahre zurück (😱), aber ich wage zu behaupten, dass die ökonomischen und Psycho-sozialen Folgen, die auch und insbesondere die Jungen, wie auch meine und ihre Kinder einst werden tragen müssen, weit schwerer wiegen als die von Ihnen angesprochenen Punkte des entfallenen Abiballs, der ausgefallenen Reise. Was mir noch nicht klar ist: werden die jungen Menschen heutzutage einfach nur behandelt als wären sie ein bisschen „beschränkt“ und zu „dämlich“ das zu kapieren oder sind sie es dank Bildungsreformen wirklich?","sozia, dämlich, sozi"
"Herr Zamperoni, ich denke doch, dass Trump die Gesellschaft zumindest noch weiter gespaltet hat - und zwar gewaltig! Und wenn er seit Monaten Unruhen anmahnt, besonders jetzt nach der Wahl, dann hat Trump sehr wohl die Zündschnur dafür angezündet. Ein Verhalten, das einem US-Präsidenten nicht entspricht, zumindest bis zu seiner Präsidentschaft!","doch, esel, alten, alte, gezündet, zündet, halt"
"Überhaupt jemanden einzuladen, der auf Trump's Seite steht ist unverschämt ☝️","unverschämt, schämt"
@MEDIUM Leider macht ihr heute einen Talk über Klimawandel anstatt über die Abstimmung am Mittwoch zu diskutieren wo gravierende Einschnitte in unserem Grundrecht fallen werden!,tiere
Wir müssen vor allem endlich lernen unsere eigenen Interessen durchzusetzen und nicht politisch überemotionalisiert zu reagieren und auhören auf politische Leichtgewichte und Populisten wie linke und grüne zu hören. Glaubt eigentlich irgendjemand ernsthaft dass Russland sich irgendetwas von uns sagen lässt? So naiv kann man nicht wirklich sein. Russland wird sich die fehlenden Einnahmen anderweitig holen und das wird nicht auf legalen Wegen passieren und vor allem die Zivilbevölkerung treffen. Wir können nicht mal unsere eigenen Bundestags-Server beschützen und wir wollen uns ernsthaft mit Russland anlegen? Deutschland ist viel schwächer als viele es denken und politisch suggeriert wird. Wir müssen unsere geopolitischen Realitäten endlich erkennen und aufhören so zu tun als hätten wir irgendetwas substanzielles zu melden. Geld bedeutet nicht immer Macht.,"assi, politischen, deutschland, olle, ollen, sag, populist, naiv, nahm, egal, linke"
"Grad erzählt die Frau dass ihr Krankheitsverlauf gar nicht so übel war und damals bei Stern Tv oder Lanz, nagelt mich nicht fest, sagte sie wie schlimm das alles war... ich finde die Dame sehr mysteriös.","krank, sag, übel, schlimm"
"@USER, dazu kann ich nicht mehr viel sagen, oder? https://www.msn.com/de-de/nachrichten/politik/trump-erw%C3%A4gt-entlassung-von-us-seuchenexperte-fauci/ar-BB1aBAH2?OCID=ansmsnnews11","seuche, sag, bah"
"gut dass er mal aufgefordert wurde, seinen Mund zu halten und nicht jedem ins Wort zu fallen.","alten, alte, mund, halt"
"Der soziale Frieden kann nur wieder hergestellt werden,wenn der Klimawandel nicht von der etablierten Politik dafür benutzt wird um noch mehr abzukassieren und um Energie, Kraftstoff noch mehr zu versteuern! Es trifft wieder insbesondere die Arbeitnehmer die schon genug Steuern und Abgaben zahlen und natürlich auch sozial Schwache und Rentner!","assi, kassieren, sozia, sozi"
"Ja , Gesundheit, bildung und wasser versorgung sollte von stadt reguliert sein, egal wo.",egal
George Weinberg war mit seinen politischen Parolen auf Plattitüden-Niveau und der Verteidigung von Trumps Lügen einfach nur peinlich.,"politischen, lügen, peinlich., lüge, plattitüden, peinlich"
"Relativ wozu? Zur Klarstellung: ich halte viele Ihrer Punkte für völlig aus der Luft gegriffen ohne Kontext. Aber um sie zu beantworten: Momentan ist unsere Staatsverschuldung riesig - das liegt an Corona wo, wo wir im weltweiten Vergleich sehr gut abschneiden. Unsere Gesamtverschuldung ist natürlich sehr hoch, u.a. noch wegen des zweiten Weltkriegs und den Kosten der Wiedervereinigung, aber auch wegen notwendigen Investitionen und der Tatsache, dass wir seit Jahren völlig inkompetente Minister mit Infrastruktur und Militär betreuen, aber auch wegen der Weltwirtschaftskrisen. Unsere Krankenhäuser sind fast überall privatisiert. Die Leiharbeiter sind deshalb so viele, weil wir riesigen Konzernen erlauben Leiharbeiter (teils für Hungerlöhne) zu beschäftigen um profitabler planen zu können. Höchste Anzahl an Millionären u.a. deshalb weil wir eben nicht umverteilen, sondern lieber Milliardenkonzerne retten als beispielsweise die Kunst-, Musik- und Gastronomiegewerbe, in welchen noch mehr Menschen arbeiten als bei der Lufthansa und der Autoindustrie zusammen. Die Höhe der Diäten wird vom Parlament bestimmt - dort gibt es eine rechts-liberale Mehrheit durch Union, FDP und AfD. Das Rentenalter ist tatsächlich sehr hoch, weil wir auch länger arbeiten müssen um auf vernünftige Renten zu kommen, denn die Durchschnittslöhne sind zu niedrig. Woran liegt das? An den Arbeitgebern, die ihre Porsches finanzieren müssen. Höchste Sozialausgaben? Falsch: Dänemark ist höher, aber das ist gut so, da die auch gut versorgt sind. Und ich werde lieber 5mio Arbeitslose durchfüttern als auch nur einen verhungern zu lassen - das nennt sich Solidarität. Unsere Steuerbelastung ist nicht die höchste - das ist einfach falsch. Unsere Mieten sind mit denen im Europäischen Ausland allein kaum zu vergleichen. In Rom sind sie beispielsweise sehr ähnlich wie in Hamburg, aber die verdienen viel weniger. Von London brauchen wir kaum reden. Unsere Strompreise sind hoch wegen mangelhafter öffentlicher Förderung und zu geringem Ausbau erneuerbarer Energien. Die Anzahl illegaler Einwanderer (bzw. illegal Eingewanderter - Unterschied, denn die Einwanderer sind nicht illegal sondern die Methode der Einwanderung) ist kaum erfasst. Asyl suchen ist nicht illegal. Zuwachs ausländischer Facharbeiter wäre zwar durchaus vorteilhaft, aber wird er gebremst u.a. dadurch, dass wir Immigranten ihre Bildungsabschlüsse nicht anerkennen. Die Zahl der ausgeführten und nicht ausgeführten Terroranschläge ist eine völlig belanglose Zahl. Die der ausgeführten ist relevant, denn sie offenbart, dass wir im Gegensatz zB zu Syrien echt ganz gut da stehen. Die der nicht ausgeführten ist ja abhängig von der der als solche erkannten. Wenn die hoch ist, heißt das, dass unsere Polizei gut gearbeitet hat - trotz des latenten Rechtsextremismus in den eigenen Reihen. Und ja: rechtsextremer Terror ist in Deutschland der der am meisten Todesopfer fordert (zur Zeit). Die Altersarmut wäre geringer wenn der Mindestlohn höher und die Grundrente beschlossen wäre - beides blockt die Union. Kinderarmut wäre auch einfacher bekämpft, wenn es mehr Chancengleichheit gäbe - blockt die Union. TL;DR: man kann alle Ihrer Punkte umdrehen und sagen, dass der Grund dafür die Blockade des Sozialsystems durch die Neoliberale und Rechtskonservative Mehrheit im Bundestag ist. Alle Verbesserungen die is in den letzten Jahren hierzu gab, gingen auf die SPD zurück.","deutschland, kranke, neuer, krank, opfer, migranten, alte, rechtsextremismus, sag, sozia, rotz, polizei, rechtsextreme, terror, egal, inkompetent, alter, kranken, lose, kad, ereinigung, unterschie, letzte, sozi, halt"
"Österreich macht es vor! Ich wünsche mir eine solche Talk Gruppe im @MEDIUM und @MEDIUM: https://www.servustv.com/videos/aa-2549wnudn2112/?fbclid=IwAR1X69rdRKZ8epwJTVXNGM1inpdsSXgtYrxkbGqucid9XFSA4IQPEX1vINc Außerdem wünsche ich, dass auch unsere Gesundheitsbehörden mal endlich die Wahrheit sprechen: https://www.facebook.com/jorg.achatz.52/videos/3813957285300040/?extid=Q6XnDuTDc0XGrZ5r",facebook
@USER kommt noch 😂😂,😂
Es ist doch eh die Industrie die Geld machen wollen die Politiker haben dann zu springen und bekommen auch Geld man hātte den Mann dort lassen sollen.Es ist nur ne Sache wo es sich um Geld dreht Ende der Geschichte,"olle, doch, ollen"
"Alle die hier so böswillig kommentieren, denkt doch einfach mal an eure eigene Jugend. Was hat sich da besonders eingeprägt? Die Klassenfahrt an die Ostsee mit den Klassenkameraden, die Ferienreise wo ihr eine neue Freundschaften geschlossen habt, das Auslandssemester wo ihr die erste Liebe getroffen habt, der Abend wo ihr beim Tanz eure/n Frau / Mann kennengelernt habt. Erinnerungen die mit Lachen und einem Gefühl der Unbeschwertheit gefüllt sind. Das lässt sich durch nichts ersetzen! Und man sollte der Jugend zumindest zugestehen, das es schwer fällt darauf zu verzichten. Und natürlich ich das nicht so schlimm wie einen Menschen zu verlieren (ich hab selbst meinen Vater dieses Jahr verloren), aber es ist trotzdem unglaublich frustrierend.","doch, trieren, vater, kameraden, rotz, kamerad, unglaublich, schlimm, tiere"
Wir werden dies nicht aufhalten.,"alten, alte, halt"
Wir haben uns damit auseinandergesetzt und finden würdevoll und schmerzfrei sterben zu können unter entsprechenden Voraussetzungen besser als qualvoll und endlos sterben zu müssen,devo
Wieso muss denn immer und überall Deutschland helfen?? Haben wir nicht selbst genug Probleme,deutschland
"@USER Was ist Ihnen wichtiger? Ein Planet, auf dem Ihre Enkel noch vernünftig leben können oder eine gesunde Wirtschaft? Mal abgesehen davon, dass sich beides durchaus miteinander vereinbaren ließe, wenn die Wirtschaft denn wollte. Konzepte dafür gibt es mehr als genug. Und Geld ist dafür auch ausreichend vorhanden. Wovor haben Sie bloß Angst?",angst
Gilt in Deutschland die Unschuldsvermutung nicht mehr? Jemand ist so lange unschuldig bis seine Schuld zweifelsfrei bewiesen ist. Wenn es bewiesen ist ab zum internationalen Gerichtshof und Verhandlung abwarten.,deutschland
Ein sehr einfältiger mensch meiner meinung nach. Er fliegt und fliegt und fliegt doch auch immer weiter um die Welt.,"doch, einfältig"
"Was sind das denn für Kommentare hier? Nawalny wurde in Russland vergiftet. Hätte man ihn wirklich dort lassen sollen? Dort, wo Oppositionelle grundsätzlich aus dem Weg geräumt werden? Das kann nicht Euer Ernst sein.","olle, ollen, vergiftet"
"Ich befürchte das es egal wer gewinnt, zu Krawallen kommen wird. Entweder BLM, oder den Revolverhelden aus Texas....irgendwem wird der Ausgang der Wahl nicht gefallen.",egal
"@USER ja die diskutieren auch in 20 Jahren noch. Nur Deutschland soll abliefern, und einen hohen Preis dafür bezahlen","deutschland, tiere"
@USER Sozialismus ist in jeder Form verkehrt. Was haben wir in Deutschland? - höchste jährliche Staatsverschuldung - höchste Gesamtstaatverschuldung - höchste Anzahl von Leiharbeitern - höchste Anzahl von Aufstockern - höchste Anzahl von Millionären - höchstes Anzahl defizitärer Krankenhäuser und Pflegeeinrichtungen - höchste Diäten für Abgeordnete (höchste Steigerung seit Jahrzehnten) - höchstes Renteneintrittsalter - höchste Sozialausgaben - höchste Steuerbelastung für Arbeitnehmer - höchste Mieten und Strompreise - höchste Anzahl illegaler Einwanderer - niedrigster Zuwachs ausländerischer Facharbeiter - höchte Anzahl von Terroränschlägen ausgeführt und nicht ausgeführt - höchster Stand der Altersarmut - höchster Stand der Kinderarmut usw. usw. usw.,"deutschland, kranke, krank, alte, sozia, terror, egal, alter, kranken, sozi"
"Absolut meine Meinung! Es fehlt die Grauzone, dieses 'Nicht extreme'. Diese brutale Polarisierung in Pro-Trump oder Contra-Trump ist enorm gefährlich. Und das sehen wir auch bei uns mit Corona. Es gibt kein 'dazwischen' mehr....","brut, brutal"
"Ich werde mich nicht impfen, sorry... aber das geht mir persönlich alles zu schnell... ich hatte einmal Influenza in London in den 90er London ist aber Ballungsgebiet...3 Wochen konnte ich mich kaum aus dem Bett bewegen hatte überall Schmerzen, hatte mich aber damals nicht impfen lassen Beim zweiten Mal das war in 2004 hatte ich Influenza nachdem ich mich habe impfen lassen, das war in Deutschland im ländlicheren Land Seitdem, nach diesen zwei Erlebnissen, und jetzt mit Corona, einen tödlichen Virus, der erst set noch nicht mal ein Jahr, und jetzt auf einmal in so einer kurzen Zeit die angebliche Superpower Impfung die alles retten soll was es auf der Welt zu retten gibt ohne auf die Nebenwirkungen zu achten, die man erst richtig nach 5-10 Jahren erst sehen kann.. ich lasse mich schon alleine deswegen nicht impfen... ich werde warten, beobachten und weiter mit gesunden Menschenverstand vorsichtig sein... ich bin dankbar das ich nicht süchtig bin nach ständigem Kontakt oder Halligalli... aber ich kann nur von mir selbst reden... Die Welt wird sich weiter drehen und alles wird sich weiter verändern.. Diese Pandemie hat jetzt schon Veränderungen gebracht.. Homeoffice, Videokonferenzen etc...","deutschland, galli"
@USER Recht haben sie. Dann sollten sie aber auch nicht mitdiskutieren.,tiere
"Kein ausgefallener Abiball, keine fehlende Verabschiedung in der Grundschule, keine Weltreise kann die Gesundheit und das Leben ersetzen. Es ist im Moment schwierig für alle, alt oder jung spielt da keine Rolle. Aber alle Maßnahmen sind besser als krank auf der Intensivstation zu liegen.","olle, krank, nahm"
Der Nawalny hat vor ein paar Jahren die Usbeken als Kakerlaken bezeichnet. Somit ist der Herr Nawalny ein ausgewiesener Nazi. Nur mal so am Rande.,"nazi, ausgewiesen"
"Schauspielen kann er nicht. Und inzwischen meint er, Ahnung von Allem zu haben. Schlimm dieser Typ",schlimm
"Die Wahl wird von den Amerikanern entschieden, und nicht von den Deutschen, auch nicht von den Deutschen Medien",medien
"Ich kann ja nur den TV fragen. Da wird von Eisverlust gesprochen und gleichzeitig von Minus 40 Grad Celsius. Das Eis, was ohne Zweifel im kurzen aktischen Sommer mehr schmilzt als früher, das friert im sehr langen arktischen Winter wieder knacketief zu. Meterdick!...Welches Eis geht da für immer verloren?? ;) Das ist nichts anderes, als ob ein Schneemann schmilzt und im Winter ist er wieder da. Warum sollte wegen einer fehlenden Fischart das Ökosystem kollabieren?? Warum nur?? Dann bildet sich immer ein neues Ökosystem. Immer und überall. Da ""wandelt"" sich gar nichts!...Es ändert sich bisschen. Das war es dann auch schon. Aber Klima""wandel"" klingt eben viel, viel dramatischer als Klima""änderung"" oder Klima""veränderung"". Stimmt's? ;) Im Englischen gibt es einen einzigen Begriff für alle drei verschiedenen Begriffe im Deutschen. Climate change. Wieso verwenden wir immer nur das Wort Klima""wandel""?...Wieso bloß? ;) Und die Worte heiß und Hitze haben da gar nichts zu suchen. Null!",dick
"@USER , wir haben verzichtet und das ist gut so. Auf dem Bauernhof meiner Eltern leben heute Polen, die von Stalin aus Galizien vertrieben worden sind. Und wir sind mit diesen polnischen Opfern des Weltkrieges gut befreundet.","vertrieben, opfer, opfern"
Schnell viel Blödsinn reden...,"dsinn, blöd, blödsinn"
"Da hat er wohl recht. Schon die Diskussion darüber, ob man ein so wichtiges Vorhaben stoppen sollte, ist einfach nur dumm",dumm
"In erster Linie hoffe ich sehr, dass der Familie Zamparoni kein Strick gedreht wird wegen des Berichtes. Ansonsten...., ich fürchte mich vor dem Ergebnis. Am besten schalte ich alle Medien ab 22.00 Uhr ab, obwohl... Na ja.... Gute Gesundheit.","medien, alte, halt"
@USER unter anderem die Wahl in Thüringen die per Beschluss der Diktatorin zurückgenommen wurde trotz angeblich demokratisch Wahl…,"diktator, diktatorin, rotz"
"deshalb braucht das land ein mehrparteiensystem, der die gesellschaft differenzierter widerspiegelt...so wie in deutschland, z.b.","deutschland, esel"
ich habe mal eine Frage an euch. Seit Wochen gibt es nur ein Thema Corona. Man kann es echt nicht mehr hören. Keine Angst ich gehöre nicht zu diesen Querdenker. Ich glaube an den Virus und an die Impfung. Auf was ich mich eigentlich beziehen möchte. In vier Wochen haben wir so wie es aussieht einen harten Brexit und darüber verliert keiner ein Wort. Es wäre einfach schön zur Ablenkung mal ein anderes Thema in den Medien zu hören als Corona. Und der Brexit geht uns alle an.,"medien, angst"
"@USER Die Grippe hat nix mit dem Coranavirus zu tun. Das ist kein Vergleich. Folgeschäden wie bei dem Masernvirus sind noch nicht erforscht. Man kann sicher Maßnahmen diskutieren, aber dieser Virus wird uns erst später aufzeigen, was er auch nachträglich auslösen kann. Noch geht es uns gut. Aber ich will Dir auch keine Meinung aufzwängen. Da ich mich nicht mit Virologie auskenne, kann ich nur versuchen mir über verschiedene Virologen eine Meinung zu bilden. Aber als harmlos abtun kann ich die Covid-19-Krankheit nicht. Bin kein Experte.🤷‍♀️","krank, nahm, tiere"
"@USER Ich glaube Sie haben meinen Kommentar nicht verstanden. Egal was wir tun, Russland wird das nichtmal ansatzweise jucken. Sanktionen bringen überhaupt nichts, was sollen wir denn ihrer Meinung nach unternehmen?","olle, ollen, egal"
"@USER Genau so! Aber seine Anhänger finden das auch noch geil, da können sie endlich ihre ach so tolle Waffen ""richtig"" einsetzen 😡","affe, olle, 😡, affen, geil"
"Die Menschen sind gefragt,sie müssen sich retten.Der Natur, ist's egal.Existiert ohne weiter, braucht den Menschen nicht.Sollten wir verstehen lernen",egal
"@MEDIUM Das Deutschland vor die Wand gefahren wird , kurz und schmerzlos erklärt !","deutschland, fahren"
"Wenn man die „richtigen“ Hobbies hat, ist man kaum eingeschränkt. Spieleabend geht auch online, Gassi gehen, Wandern und Trainieren mit den Hunden geht auch. Mein Fitnessbike steht im Arbeitszimmer. Sich zum Abendessen treffen geht zumindest zu zweit. Klar, nicht im Restaurant, aber die meisten Restaurants bieten ja Essen zum Abholen an. Ich glaube, es ist eine Frage des Blickwinkels... Bei manchen Leuten ist das Glas eben halb leer, bei anderen halb voll.","assi, hund, hunden, leute, hunde"
"Da bin ich ja mal gespannt. Denn das, was ich von den Schülern und jungen Leuten vor allem mitbekomme ist, dass sie sich wie die Versuchskaninchen für das Virus vorkommen.",leute
"@USER Es bestehen bereits Sanktionen! Und nein, es hat überhaupt nichts mit der Wahl in den USA zu tun, Trump hat die letzten Sanktionen gegen Russland sogar noch verschärft, was hat es gebracht? Und als ob der komplette Westen an einem astrang ziehen würde, das ist utopisch und falls doch würde das einen neuen kalten Krieg auslösen und wir können jns auf eine um vielfaches verstärkte Hybridekriegsführung gefasst machen. Russland wird niemals einlenken, das können wir vergessen.","doch, alten, alte, kriegsführung, letzte"
"@USER Sie sind vielleicht nicht Politiker, aber auch Sie können Vorschläge machen und Frau Baerbock hat schon mehr als einmal Vorschläge gemacht. Sie ist aber nicht in einer Regierungspartei, sonst hätten wir viel mehr Windräder in Deutschland.",deutschland
